FIPS,total_pop,prop_vaccine_intent,prop_vaccine_intent_lower,prop_vaccine_intent_upper
46041,5841.0,0.1,0.07,0.13
46043,2913.0,0.13,0.08,0.18
46045,3876.0,0.15,0.08,0.21
46047,6721.0,0.2,0.17,0.24
46049,2315.0,0.15,0.1,0.2
46051,7125.0,0.2,0.16,0.23
46053,4193.0,0.16,0.1,0.21
46055,1935.0,0.14,0.08,0.2
46057,6104.0,0.18,0.11,0.25
46059,3064.0,0.16,0.09,0.23
46061,3423.0,0.32,0.2,0.44
46063,1178.0,0.09,0.01,0.16
46065,17560.0,0.21,0.19,0.23
46067,7308.0,0.18,0.14,0.21
46069,1446.0,0.15,0.1,0.21
46071,3296.0,0.17,0.1,0.25
46073,2009.0,0.13,0.06,0.2
46075,873.0,0.14,0.06,0.22
46077,4936.0,0.21,0.14,0.28
46079,12747.0,0.21,0.17,0.25
46081,25806.0,0.19,0.17,0.21
46083,58887.0,0.21,0.2,0.22
46085,3831.0,,,
46087,5543.0,0.19,0.15,0.22
46089,2316.0,0.21,0.15,0.28
46091,4881.0,0.11,0.06,0.16
46093,28149.0,0.16,0.14,0.18
46095,2065.0,,,
46097,2213.0,0.11,0.04,0.17
46099,191682.0,0.2,0.19,0.2
46101,6508.0,0.14,0.08,0.19
46102,14277.0,0.14,0.12,0.17
46103,112504.0,0.19,0.19,0.2
46105,2996.0,0.11,0.08,0.14
46107,2311.0,0.14,0.09,0.19
46109,10310.0,0.16,0.13,0.19
46111,2372.0,0.18,0.1,0.27
46115,6438.0,0.19,0.12,0.26
46117,3058.0,0.22,0.13,0.3
46119,1278.0,0.19,0.13,0.26
46121,10308.0,0.12,0.08,0.16
46123,5448.0,0.1,0.07,0.14
46125,8325.0,0.13,0.1,0.17
46127,15659.0,0.31,0.28,0.34
46129,5431.0,,,
46135,22746.0,0.26,0.24,0.28
46137,2767.0,0.17,0.08,0.27
47001,76513.0,0.29,0.28,0.3
47003,48937.0,0.19,0.17,0.21
47005,16133.0,0.19,0.16,0.23
47007,14961.0,0.19,0.16,0.22
47009,131641.0,0.31,0.3,0.32
47011,106924.0,0.25,0.24,0.26
47013,39818.0,0.2,0.18,0.22
47015,14374.0,0.22,0.19,0.25
47017,27841.0,0.18,0.16,0.2
47019,56452.0,0.22,0.2,0.24
47021,40539.0,0.27,0.25,0.3
47023,17260.0,0.23,0.2,0.26
47025,31827.0,0.24,0.21,0.26
47027,7640.0,0.18,0.13,0.23
47029,35797.0,0.21,0.19,0.23
47031,56024.0,0.23,0.21,0.24
47033,14310.0,0.22,0.16,0.28
47035,60016.0,0.25,0.23,0.26
47037,690540.0,0.29,0.28,0.29
47039,11663.0,0.2,0.17,0.24
47041,20104.0,0.19,0.16,0.21
47043,53289.0,0.27,0.25,0.29
47045,37201.0,0.19,0.17,0.2
47047,40612.0,0.28,0.26,0.3
47049,18405.0,0.16,0.14,0.19
47051,41999.0,0.25,0.23,0.27
47053,49193.0,0.22,0.21,0.24
47055,29403.0,0.23,0.2,0.25
47057,23268.0,0.23,0.2,0.27
47059,69077.0,0.24,0.23,0.26
47061,13371.0,0.14,0.11,0.17
47063,64479.0,0.24,0.23,0.25
47065,364718.0,0.31,0.3,0.31
47067,6568.0,0.15,0.11,0.2
47069,25247.0,0.21,0.17,0.25
47071,25665.0,0.22,0.19,0.25
47073,56735.0,0.22,0.2,0.24
47075,17391.0,0.2,0.18,0.23
47077,27956.0,0.2,0.17,0.22
47079,32251.0,0.2,0.18,0.22
47081,25017.0,0.2,0.17,0.23
47083,8201.0,0.21,0.17,0.26
47085,18528.0,0.2,0.17,0.22
47087,11767.0,0.21,0.17,0.24
47089,54162.0,0.26,0.24,0.28
47091,17755.0,0.19,0.17,0.21
47093,466184.0,0.31,0.3,0.31
47095,7273.0,0.2,0.14,0.25
47097,25689.0,0.19,0.16,0.21
47099,43780.0,0.24,0.22,0.26
47101,12131.0,0.24,0.2,0.28
47103,34158.0,0.25,0.23,0.27
47105,53169.0,0.28,0.27,0.3
47107,53392.0,0.21,0.19,0.23
47109,25814.0,0.19,0.15,0.22
47111,24208.0,0.19,0.16,0.21
47113,97838.0,0.2,0.19,0.21
